Time,Force,EMG,
59.739,2.895479,0.03389653,
59.74,2.895479,0.03386665,
59.741,2.895479,0.03383648,
59.742,2.895479,0.03380593,
59.743,2.926004,0.03377518,
59.744,2.926004,0.03374406,
59.745,2.956529,0.03371255,
59.746,2.956529,0.03368057,
59.747,2.987054,0.03364696,
59.748,2.987054,0.03361421,
59.749,3.017579,0.03358127,
59.75,3.017579,0.03354824,
59.751,3.048104,0.03351491,
59.752,3.048104,0.0334814,
59.753,3.078629,0.03344751,
59.754,3.078629,0.03341314,
59.755,3.109154,0.03337838,
59.756,3.170204,0.03334172,
59.757,3.170204,0.0333062,
59.758,3.200729,0.0332704,
59.759,3.200729,0.0332345,
59.76,3.200729,0.03319831,
59.761,3.170204,0.03316194,
59.762,3.170204,0.03312528,
59.763,3.170204,0.03308814,
59.764,3.170204,0.03305071,
59.765,3.170204,0.03301137,
59.766,3.170204,0.03297347,
59.767,3.170204,0.03293547,
59.768,3.200729,0.03289747,
59.769,3.200729,0.03285937,
59.77,3.200729,0.03282128,
59.771,3.200729,0.03278299,
59.772,3.200729,0.03274452,
59.773,3.200729,0.03270575,
59.774,3.200729,0.03266546,
59.775,3.170204,0.03262651,
59.776,3.170204,0.03258774,
59.777,3.170204,0.03254908,
59.778,3.170204,0.03251031,
59.779,3.170204,0.03247155,
59.78,3.170204,0.03243269,
59.781,3.139679,0.03239364,
59.782,3.139679,0.0323543,
59.783,3.109154,0.03231334,
59.784,3.078629,0.03227391,
59.785,3.078629,0.03223458,
59.786,3.078629,0.03219534,
59.787,3.078629,0.032156,
59.788,3.078629,0.03211676,
59.789,3.048104,0.03207742,
59.79,3.017579,0.03203789,
59.791,3.017579,0.03199827,
59.792,2.987054,0.03195712,
59.793,2.987054,0.03191759,
59.794,2.987054,0.03187835,
59.795,2.987054,0.0318394,
59.796,2.987054,0.03180054,
59.797,3.017579,0.03176187,
59.798,3.017579,0.0317232,
59.799,3.017579,0.03168463,
59.8,3.017579,0.03164606,
59.801,3.017579,0.03160605,
